temer;deputados;politicos;aborto;regiao;escolaridade;sexo;idade;freqmissa;impreligiao;renda;protest;policiaprop;publiprop;propina;miliprop;assassinato;confjust;confinst;confsistema;orgulhosist;apoio;orgulhobra;confexercito;confcongresso;confmilitar;confpartido;confpresidente;confcomunic;confeleicao
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Norte;11;Male;28;More than once a week;Very Important;16;Yes, I have participated;No;Yes;No;No;Yes;5;4;3;2;2;5;5;4;6;4;5;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;8;Female;23;Once a month;Somewhat Important;4;No, I have not participated;No;No;Yes;No;Yes;7;3;1;1;1;7;7;4;1;1;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Female;35;Once a month;Somewhat Important;3;No, I have not participated;No;No;No;No;No;4;5;3;2;3;7;5;4;6;3;2;6;5
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;11;Female;19;Once a week;Very Important;13;No, I have not participated;No;No;No;No;No;4;1;1;1;1;3;7;2;7;1;1;7;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Female;38;Never or almost never;Somewhat Important;10;No, I have not participated;No;No;Yes;No;Yes;3;4;2;1;1;4;3;1;1;1;1;3;2
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Centro-Oeste;10;Male;41;More than once a week;Very Important;6;No, I have not participated;No;No;No;No;Yes;3;7;3;1;3;7;7;1;6;1;4;5;5
Very Bad;Neither well nor poorly;All;Nao;Região Norte;5;Female;23;Once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;5;3;3;2;1;7;7;4;5;2;1;6;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Sudeste;11;Female;30;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;2;2;2;2;4;6;6;1;6;3;3;6;4
Very Bad;Very poorly;All;Sim;Região Nordeste;5;Male;57;Never or almost never;Not Important at All;9;No, I have not participated;No;No;Yes;No;No;1;1;1;1;1;7;1;1;1;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Female;20;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;Yes;4;6;3;5;4;5;5;4;3;3;3;5;4
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sul;11;Male;41;Once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;3;2;2;2;1;5;3;1;4;2;4;5;3
Very Bad;Very poorly;All;Nao;Região Centro-Oeste;4;Female;44;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;No;5;5;4;4;6;7;7;5;1;7;1;3;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Nordeste;10;Male;32;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;No;7;3;3;3;3;7;7;5;6;5;1;2;6
Very Bad;Very poorly;All;Sim;Região Sudeste;11;Female;51;Once a week;Somewhat Important;1;No, I have not participated;No;No;No;No;Yes;1;2;1;1;1;2;1;1;1;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sul;7;Male;38;Once a month;Very Important;1;No, I have not participated;No;Yes;No;No;Yes;3;2;1;1;1;4;4;1;2;1;1;1;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;8;Female;63;More than once a week;Very Important;4;No, I have not participated;No;No;No;No;No;7;6;2;5;1;7;7;2;7;1;6;7;7
Very Bad;Very poorly;All;Nao;Região Sul;7;Male;44;Never or almost never;Not Very Important;NA;No, I have not participated;No;No;No;No;No;3;4;4;4;4;6;6;2;4;1;1;1;3
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Sul;8;Male;34;Once a week;Very Important;3;No, I have not participated;No;No;No;No;No;4;5;5;3;5;6;7;3;6;4;4;7;5
Neither Good nor Bad (Fair);Poorly;All;Sim;Região Sudeste;8;Male;16;Once a week;Very Important;3;Yes, I have participated;No;No;Yes;No;Yes;2;7;2;4;7;7;6;3;5;3;5;6;3
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Norte;10;Female;54;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;No;3;4;3;1;3;7;5;3;2;1;1;2;2
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;3;Female;40;Never or almost never;Very Important;10;No, I have not participated;No;No;No;No;Yes;7;1;1;1;1;2;3;3;3;2;2;4;1
Bad;Neither well nor poorly;All;Sim;Região Centro-Oeste;11;Female;43;Once or twice a year;Very Important;5;No, I have not participated;No;No;No;No;Yes;3;2;1;1;2;6;2;1;3;7;7;6;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sul;11;Female;42;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;No;1;7;2;1;1;7;7;2;5;2;1;1;3
Bad;Poorly;More than half of them;Sim;Região Norte;13;Female;27;Never or almost never;Somewhat Important;14;No, I have not participated;No;No;No;No;Yes;4;5;3;4;4;7;6;5;4;1;1;4;2
Good;Neither well nor poorly;More than half of them;Nao;Região Sudeste;15;Male;36;Once a week;Somewhat Important;11;No, I have not participated;No;No;No;No;Yes;4;5;6;4;4;5;4;5;4;5;4;5;4
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;9;Male;59;Never or almost never;Very Important;3;No, I have not participated;Yes;No;Yes;No;Yes;4;6;5;5;6;7;7;6;6;4;7;7;5
Very Bad;Very poorly;More than half of them;Sim;Região Norte;11;Male;50;More than once a week;Very Important;14;Yes, I have participated;No;No;No;No;No;6;2;2;3;3;5;7;2;6;2;1;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Norte;7;Female;28;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;3;6;1;1;5;7;7;1;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sul;11;Male;53;Once a week;Very Important;14;Yes, I have participated;No;No;No;No;No;4;4;3;5;5;7;6;2;4;3;3;5;4
Good;Poorly;More than half of them;Nao;Região Norte;11;Male;33;More than once a week;Very Important;6;No, I have not participated;No;No;No;No;Yes;5;5;2;3;2;7;7;1;7;2;1;6;1
Very Bad;Neither well nor poorly;All;Nao;Região Sul;6;Female;58;Once a week;Very Important;9;No, I have not participated;No;No;No;No;No;1;5;3;2;4;7;7;1;6;1;1;6;4
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Female;50;Once a week;Very Important;11;No, I have not participated;No;No;No;No;Yes;3;7;1;1;1;7;7;5;1;1;1;7;1
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Centro-Oeste;11;Male;27;Once a month;Very Important;13;No, I have not participated;No;No;No;No;Yes;3;6;1;1;1;7;7;1;5;1;1;7;7
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Sul;4;Male;64;Once or twice a year;Somewhat Important;10;No, I have not participated;No;No;Yes;No;Yes;2;7;1;1;2;7;3;1;1;1;2;6;1
Very Bad;Very poorly;All;Sim;Região Sudeste;9;Male;19;More than once a week;Very Important;NA;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;1;5;1;1;1;1;5;1
Very Bad;Very poorly;All;Sim;Região Centro-Oeste;4;Male;47;Once or twice a year;Very Important;10;No, I have not participated;No;No;No;No;Yes;2;1;1;3;4;7;6;1;4;1;1;3;1
Very Bad;Very poorly;More than half of them;Nao;Região Centro-Oeste;11;Male;23;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;3;4;2;1;2;7;4;3;4;2;2;4;2
Bad;Poorly;More than half of them;Nao;Região Nordeste;9;Male;33;Never or almost never;Very Important;3;Yes, I have participated;No;No;No;No;Yes;1;7;1;1;7;7;1;1;4;1;1;3;1
Very Bad;Neither well nor poorly;All;Sim;Região Nordeste;4;Female;30;More than once a week;Very Important;13;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;1;1;1;1;1;7;1
Very Bad;Very poorly;All;Sim;Região Nordeste;4;Female;50;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;Yes;1;2;1;1;2;1;4;1;1;1;1;5;1
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Sul;15;Female;29;Once a month;Somewhat Important;10;Yes, I have participated;No;No;Yes;No;No;4;4;3;4;4;5;5;4;4;1;2;3;2
Very Bad;NA;Less than half of them;Nao;Região Nordeste;4;Female;55;Once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;7;2;NA;1;7;7;7;6;7;1;5;7;1
Very Bad;Very poorly;All;Sim;Região Sul;7;Female;39;Never or almost never;Not Important at All;13;No, I have not participated;No;No;No;No;Yes;5;5;1;1;1;1;3;3;5;2;1;2;1
Very Bad;NA;All;Nao;Região Nordeste;0;Male;61;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;1;7;1;1;1;7;7;1;7;1;1;7;1
Neither Good nor Bad (Fair);Well;Half of them;Sim;Região Sul;5;Female;48;Once or twice a year;Very Important;2;No, I have not participated;No;No;No;No;No;5;4;1;1;1;7;6;6;6;1;4;7;1
Bad;Poorly;More than half of them;Nao;Região Centro-Oeste;11;Male;34;Once a week;Very Important;15;No, I have not participated;No;No;No;No;Yes;2;2;1;1;3;6;7;3;6;1;2;1;2
Neither Good nor Bad (Fair);Very poorly;More than half of them;Sim;Região Sul;11;Male;71;More than once a week;Very Important;13;Yes, I have participated;No;No;No;No;No;1;7;5;3;3;7;7;1;6;1;4;4;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Male;50;Once or twice a year;Somewhat Important;3;No, I have not participated;No;No;No;No;No;2;3;4;2;3;2;4;2;4;2;3;6;4
Neither Good nor Bad (Fair);Very poorly;Half of them;Nao;Região Norte;7;Male;33;Once a month;Very Important;2;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;7;1;7;1;1;7;1
Very Bad;Poorly;More than half of them;Sim;Região Nordeste;10;Male;26;More than once a week;Very Important;5;Yes, I have participated;No;No;Yes;No;Yes;4;1;1;1;2;7;5;1;4;1;1;6;2
Bad;Poorly;More than half of them;Sim;Região Nordeste;10;Female;59;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;1;1;1;7;1;7;7;1;3;1;1;7;1
Very Bad;Very poorly;All;Nao;Região Sudeste;10;Male;18;Once or twice a year;Somewhat Important;10;Yes, I have participated;No;No;No;No;Yes;1;2;3;1;1;1;2;1;2;3;1;1;1
Good;Very Well;All;Nao;Região Norte;8;Male;61;Never or almost never;Not Important at All;10;No, I have not participated;No;No;No;No;No;6;7;5;3;6;7;7;7;7;4;7;7;6
Very Bad;Neither well nor poorly;All;Sim;Região Nordeste;11;Female;34;Once a month;Very Important;2;No, I have not participated;No;No;Yes;No;Yes;4;4;5;5;5;6;6;4;4;4;2;4;2
Very Bad;Very poorly;All;Sim;Região Sudeste;8;Female;31;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;No;1;1;1;2;1;1;1;1;3;1;1;2;1
Very Bad;Very poorly;More than half of them;Nao;Região Norte;11;Male;21;Once or twice a year;Very Important;10;No, I have not participated;No;No;Yes;No;No;3;2;1;1;1;5;6;2;4;1;1;5;6
Very Bad;Very poorly;All;Sim;Região Sul;3;Male;48;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;2;7;7;7;7;6;7;7;7;7;6;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Norte;11;Female;37;Never or almost never;Somewhat Important;7;Yes, I have participated;No;No;No;No;Yes;5;6;4;2;5;7;6;6;7;5;5;5;5
Bad;Poorly;More than half of them;Nao;Região Nordeste;8;Female;19;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;4;7;5;1;4;5;5;4;5;4;5;3;4
Good;Well;Less than half of them;Nao;Região Centro-Oeste;5;Female;46;Once a week;Very Important;5;No, I have not participated;No;No;No;No;No;7;5;4;3;2;6;1;2;3;4;5;7;6
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Nordeste;4;Female;35;More than once a week;Very Important;2;Yes, I have participated;No;No;Yes;No;Yes;1;5;1;1;3;6;4;3;7;1;3;6;1
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Sudeste;11;Female;54;More than once a week;Very Important;10;No, I have not participated;No;No;No;No;Yes;1;4;1;1;4;7;5;1;7;1;1;5;3
Good;Neither well nor poorly;Less than half of them;Sim;Região Sul;11;Male;84;Once a month;Very Important;13;No, I have not participated;No;No;No;No;Yes;7;5;6;4;5;7;7;4;6;2;6;6;7
Very Bad;Very poorly;Less than half of them;Sim;Região Centro-Oeste;0;Female;50;More than once a week;Very Important;2;No, I have not participated;No;No;No;No;Yes;6;5;2;4;1;3;3;2;3;1;1;6;2
Very Bad;Neither well nor poorly;All;Nao;Região Centro-Oeste;4;Male;50;Never or almost never;Not Important at All;8;No, I have not participated;No;No;No;No;Yes;1;7;1;1;7;7;7;7;7;7;7;7;7
Very Bad;Well;More than half of them;Sim;Região Nordeste;10;Female;41;Never or almost never;Not Very Important;3;No, I have not participated;No;No;No;No;Yes;4;1;1;1;1;3;5;4;5;1;1;5;6
Very Bad;Well;More than half of them;Nao;Região Sul;10;Male;16;Once a month;Not Very Important;2;No, I have not participated;No;No;No;No;Yes;2;5;3;2;1;7;4;1;3;1;1;4;3
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;10;Male;55;Never or almost never;Very Important;3;No, I have not participated;No;No;No;No;No;6;3;3;2;3;7;7;3;2;3;2;3;2
Bad;Poorly;All;Nao;Região Norte;4;Male;63;More than once a week;Somewhat Important;2;No, I have not participated;No;No;No;No;Yes;1;7;1;1;1;7;7;1;7;1;1;1;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Nao;Região Sudeste;9;Female;19;Once a month;Very Important;3;No, I have not participated;No;No;No;No;Yes;3;5;4;4;4;5;4;3;3;2;2;5;4
Very Bad;Very poorly;All;Sim;Região Sudeste;5;Female;44;Never or almost never;Not Very Important;5;No, I have not participated;No;No;No;No;Yes;3;4;2;2;1;6;5;2;1;1;1;2;1
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Norte;6;Female;43;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;4;3;5;3;1;7;7;5;7;6;5;2;7
Very Bad;Neither well nor poorly;More than half of them;Sim;Região Sul;4;Female;44;Once a month;Very Important;12;No, I have not participated;No;No;No;No;No;1;4;1;1;1;7;5;1;7;1;1;1;7
Very Bad;Poorly;All;Nao;Região Sudeste;9;Male;16;Once or twice a year;Somewhat Important;5;No, I have not participated;No;No;No;No;Yes;3;3;1;1;1;3;2;1;2;2;2;3;1
Bad;Very poorly;All;Nao;Região Norte;6;Female;30;Once a week;Very Important;4;No, I have not participated;No;No;Yes;No;Yes;1;1;1;1;1;2;6;1;2;1;1;3;1
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Norte;4;Male;48;Once a month;Very Important;9;No, I have not participated;No;No;No;No;Yes;3;2;3;3;6;7;7;6;4;2;5;6;5
Neither Good nor Bad (Fair);Poorly;More than half of them;Nao;Região Norte;11;Male;64;Once a week;Very Important;14;No, I have not participated;No;No;No;No;Yes;3;4;2;2;1;6;7;4;6;3;1;5;4
Very Bad;Well;More than half of them;Sim;Região Sudeste;10;Female;55;Never or almost never;Very Important;7;No, I have not participated;No;No;No;No;Yes;1;1;1;1;1;7;1;1;1;1;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Norte;10;Male;42;Once a month;Very Important;4;Yes, I have participated;Yes;No;Yes;Yes;Yes;4;5;1;2;4;7;7;6;2;1;2;5;4
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Sudeste;6;Female;52;Never or almost never;Very Important;10;No, I have not participated;No;No;No;No;No;4;6;2;5;2;7;7;6;1;1;4;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Nordeste;11;Male;33;Once a month;Very Important;5;No, I have not participated;No;No;Yes;No;Yes;1;1;1;2;2;7;4;1;2;1;2;3;3
Very Bad;Neither well nor poorly;All;Nao;Região Nordeste;8;Female;39;Once a month;Somewhat Important;4;No, I have not participated;No;No;No;No;Yes;3;4;1;1;1;7;5;1;7;1;1;7;1
Neither Good nor Bad (Fair);NA;All;Sim;Região Norte;14;Female;44;Once a week;Very Important;11;No, I have not participated;No;No;No;No;No;5;4;5;5;3;7;5;5;6;4;4;5;4
Good;Neither well nor poorly;Less than half of them;Sim;Região Sul;10;Male;38;Once a month;Somewhat Important;15;No, I have not participated;No;No;No;No;Yes;4;4;3;4;4;7;4;4;4;4;5;3;3
Bad;Poorly;All;Sim;Região Sudeste;9;Male;20;Once a month;Very Important;15;No, I have not participated;No;No;No;No;Yes;3;2;3;1;1;7;4;1;4;1;1;4;2
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;4;Male;46;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;5;7;5;4;3;7;7;6;6;6;5;7;5
Neither Good nor Bad (Fair);Neither well nor poorly;All;Nao;Região Norte;11;Female;22;Once or twice a year;Very Important;9;Yes, I have participated;No;No;Yes;No;Yes;2;6;1;3;1;3;1;1;1;1;1;2;1
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Sul;9;Male;17;Once a week;Somewhat Important;NA;No, I have not participated;No;No;No;No;Yes;4;5;5;7;7;7;4;5;3;3;3;4;4
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Sim;Região Norte;8;Male;19;Never or almost never;Very Important;12;No, I have not participated;No;No;No;No;No;4;4;3;3;4;7;6;5;5;3;3;6;4
Very Bad;Very poorly;All;Sim;Região Sudeste;8;Female;42;Never or almost never;Very Important;11;No, I have not participated;No;No;No;No;Yes;1;1;1;1;2;7;7;1;6;1;1;7;1
Neither Good nor Bad (Fair);Very poorly;More than half of them;Nao;Região Nordeste;11;Male;38;Never or almost never;Somewhat Important;5;No, I have not participated;No;No;No;No;No;2;5;1;1;1;1;1;1;1;1;1;6;5
Good;Poorly;More than half of them;Nao;Região Norte;11;Male;36;Once a month;Very Important;12;No, I have not participated;No;No;No;No;Yes;3;4;3;3;2;7;7;4;7;3;3;3;3
Very Bad;Very poorly;All;Sim;Região Sudeste;9;Male;23;Never or almost never;Very Important;12;No, I have not participated;Yes;No;No;Yes;Yes;1;3;1;1;1;7;7;1;4;1;1;3;1
Good;Neither well nor poorly;More than half of them;Nao;Região Sudeste;3;Male;86;Once a week;Very Important;4;No, I have not participated;No;No;No;No;No;4;4;3;6;6;7;4;5;6;2;3;2;2
Good;Neither well nor poorly;All;Sim;Região Nordeste;7;Male;18;Never or almost never;Somewhat Important;2;No, I have not participated;No;No;Yes;No;Yes;1;3;5;5;3;7;6;4;6;2;3;5;2
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Nordeste;11;Male;20;Once a month;Very Important;NA;No, I have not participated;No;No;No;No;Yes;4;4;4;4;4;7;7;4;7;1;3;4;3
Very Bad;Neither well nor poorly;All;Sim;Região Sul;8;Female;25;Once a month;Very Important;1;No, I have not participated;No;No;No;No;No;1;1;1;1;2;5;1;7;7;7;7;5;3
Bad;Neither well nor poorly;More than half of them;Nao;Região Nordeste;11;Female;34;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;4;3;1;1;1;4;4;1;2;1;1;2;3
Very Good;Neither well nor poorly;More than half of them;Sim;Região Sul;8;Male;18;Once a week;Somewhat Important;2;No, I have not participated;No;No;No;No;No;6;7;5;5;7;7;7;6;7;5;5;7;7
Bad;Very poorly;More than half of them;Sim;Região Sudeste;11;Male;19;Once a week;Very Important;8;Yes, I have participated;No;No;No;No;Yes;4;3;4;2;2;5;5;3;5;2;3;5;1
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Nao;Região Sudeste;4;Male;39;Once a week;Very Important;13;No, I have not participated;No;No;No;No;No;4;5;2;4;4;7;5;4;4;3;4;5;4
Good;Poorly;More than half of them;Nao;Região Centro-Oeste;11;Female;45;More than once a week;Very Important;10;No, I have not participated;No;No;No;No;Yes;4;4;3;3;2;7;6;2;5;2;3;5;3
Neither Good nor Bad (Fair);Very poorly;More than half of them;Nao;Região Sudeste;0;Male;61;More than once a week;Very Important;8;No, I have not participated;No;No;Yes;No;No;3;6;1;2;2;7;6;4;5;1;4;6;1
Very Bad;Very poorly;All;Nao;Região Norte;10;Female;17;Never or almost never;Somewhat Important;4;No, I have not participated;No;No;No;No;NA;3;7;5;1;4;7;7;2;1;1;2;7;1
Bad;Well;More than half of them;Nao;Região Sudeste;11;Male;57;Never or almost never;Very Important;NA;No, I have not participated;No;No;No;No;No;1;2;3;3;5;7;4;2;5;1;1;5;1
Very Bad;Neither well nor poorly;All;Nao;Região Sudeste;11;Female;65;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;1;4;2;5;4;7;1;4;2;2;1;6;3
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Sudeste;11;Male;25;More than once a week;Very Important;10;Yes, I have participated;No;No;No;No;Yes;2;7;2;4;4;6;6;3;3;2;2;3;3
Bad;Poorly;All;Sim;Região Sudeste;11;Female;44;Once a month;Very Important;3;No, I have not participated;No;No;No;No;No;1;5;3;1;1;3;4;3;4;2;2;4;2
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Nao;Região Nordeste;9;Male;18;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;5;6;4;7;7;6;6;6;5;6;6;5
Very Bad;Very poorly;More than half of them;Sim;Região Nordeste;11;Female;27;Once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;3;2;1;1;1;2;4;1;3;1;1;2;1
Neither Good nor Bad (Fair);Well;More than half of them;Sim;Região Nordeste;8;Female;24;Once or twice a year;Somewhat Important;10;No, I have not participated;No;No;No;No;Yes;5;4;4;3;5;4;5;5;6;4;4;5;4
Very Bad;Well;All;Sim;Região Nordeste;9;Male;19;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;6;7;4;2;7;7;7;6;7;2;1;7;2
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;9;Female;17;Never or almost never;Very Important;13;No, I have not participated;No;No;No;No;Yes;4;5;3;2;6;1;7;6;4;4;5;6;4
Neither Good nor Bad (Fair);Neither well nor poorly;Half of them;Nao;Região Centro-Oeste;4;Female;65;Once a month;Very Important;7;No, I have not participated;No;No;No;No;Yes;4;5;4;1;3;7;4;1;3;1;1;7;4
Very Bad;Very poorly;All;Sim;Região Sul;12;Female;58;Never or almost never;Not Important at All;7;No, I have not participated;No;No;No;No;Yes;1;1;1;1;2;7;1;1;1;1;1;7;1
Good;Neither well nor poorly;More than half of them;Sim;Região Centro-Oeste;9;Male;19;More than once a week;Very Important;3;No, I have not participated;No;No;No;No;Yes;5;4;5;3;4;7;7;5;4;3;4;5;5
Neither Good nor Bad (Fair);Very poorly;Half of them;Sim;Região Nordeste;4;Male;67;Once or twice a year;Very Important;3;No, I have not participated;No;No;No;No;No;7;3;6;7;4;7;7;6;4;1;2;4;1
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;8;Male;37;Once a week;Very Important;16;No, I have not participated;Yes;No;No;No;Yes;7;7;1;7;7;7;7;6;7;5;7;7;7
Neither Good nor Bad (Fair);Neither well nor poorly;All;Sim;Região Sudeste;8;Female;25;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;Yes;4;5;3;2;1;6;4;4;5;3;3;5;6
Very Bad;Poorly;More than half of them;Sim;Região Sul;4;Male;50;Never or almost never;Not Very Important;11;No, I have not participated;No;No;No;No;No;3;5;3;5;4;7;7;2;3;1;2;5;3
Neither Good nor Bad (Fair);Very poorly;All;Sim;Região Norte;17;Male;32;Once a month;Somewhat Important;17;Yes, I have participated;No;No;No;No;Yes;3;5;2;2;3;7;5;3;3;1;1;3;3
Very Bad;Neither well nor poorly;All;Nao;Região Norte;5;Male;22;Once a week;Very Important;2;No, I have not participated;No;No;No;No;No;2;6;3;5;7;7;2;4;2;2;3;5;6
Very Bad;Neither well nor poorly;All;Nao;Região Sul;2;Female;67;Once a month;Very Important;10;No, I have not participated;No;No;No;No;No;3;5;1;1;1;3;5;1;3;1;1;3;2
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Norte;11;Male;23;Once a week;Very Important;8;No, I have not participated;Yes;No;No;Yes;Yes;4;3;5;3;1;7;7;4;6;1;1;3;4
Very Bad;Neither well nor poorly;All;Nao;Região Sul;14;Male;30;Once a week;Very Important;17;Yes, I have participated;No;No;No;No;Yes;4;3;1;3;2;5;4;2;2;1;5;3;2
Neither Good nor Bad (Fair);Neither well nor poorly;Less than half of them;Nao;Região Sul;8;Male;25;Once a month;Not Very Important;9;No, I have not participated;No;No;No;No;Yes;4;3;4;4;3;6;7;5;5;2;1;5;3
Very Bad;Very poorly;More than half of them;Sim;Região Sudeste;12;Male;61;Never or almost never;Very Important;7;Yes, I have participated;No;No;No;No;Yes;4;7;1;7;1;7;7;1;7;1;1;7;1
Neither Good nor Bad (Fair);Neither well nor poorly;More than half of them;Sim;Região Norte;11;Male;40;More than once a week;Very Important;6;Yes, I have participated;Yes;No;No;Yes;Yes;4;4;4;2;5;7;7;2;5;4;5;4;5
Very Bad;Poorly;More than half of them;Sim;Região Sul;11;Female;19;Never or almost never;Not Very Important;12;Yes, I have participated;No;No;No;No;No;3;3;2;2;2;6;4;1;2;2;1;2;3
Good;Poorly;All;Sim;Região Sul;11;Male;44;Once a month;Very Important;2;No, I have not participated;No;No;No;No;Yes;3;1;1;1;1;7;7;1;7;1;2;7;3
Bad;Very poorly;All;Sim;Região Nordeste;17;Male;50;Never or almost never;Very Important;16;No, I have not participated;Yes;Yes;No;Yes;Yes;3;1;1;3;4;7;4;1;3;1;2;4;3
Very Bad;Well;More than half of them;Sim;Região Nordeste;9;Female;17;Once a month;Very Important;NA;No, I have not participated;No;No;No;No;Yes;7;7;3;1;1;7;5;1;4;1;1;1;5
Very Bad;Very poorly;More than half of them;Nao;Região Centro-Oeste;7;Male;36;Never or almost never;Very Important;2;No, I have not participated;No;No;No;No;No;5;3;2;1;1;7;5;4;2;1;1;4;1
Neither Good nor Bad (Fair);Very poorly;All;Nao;Região Nordeste;4;Male;75;Once or twice a year;Very Important;5;No, I have not participated;No;No;No;No;Yes;6;7;1;1;1;7;7;1;6;5;1;7;1
Very Bad;Very poorly;All;Sim;Região Nordeste;16;Male;41;Once a month;Very Important;3;Yes, I have participated;Yes;Yes;No;Yes;Yes;3;4;3;4;5;7;2;1;1;5;1;2;7
Very Bad;Neither well nor poorly;More than half of them;Nao;Região Sudeste;6;Female;36;More than once a week;Very Important;7;No, I have not participated;No;No;No;No;Yes;5;3;1;1;1;4;5;2;1;1;1;1;3
Very Bad;Poorly;All;Nao;Região Sudeste;11;Female;19;Never or almost never;Very Important;4;Yes, I have participated;No;No;Yes;No;Yes;2;3;2;4;2;4;4;3;2;2;3;3;3
Very Bad;Poorly;More than half of them;Nao;Região Sudeste;16;Male;34;Once or twice a year;Not Very Important;16;No, I have not participated;No;No;No;No;No;2;3;3;3;2;5;3;3;2;3;3;4;1
Bad;Very poorly;All;Sim;Região Nordeste;2;Male;75;Never or almost never;Not Very Important;3;No, I have not participated;No;No;No;No;No;2;1;1;3;1;7;7;1;4;1;1;5;1
Very Bad;Very poorly;More than half of them;Nao;Região Nordeste;11;Male;30;Once a month;Very Important;14;No, I have not participated;No;No;No;No;Yes;3;4;1;1;2;5;7;2;3;1;2;6;2
